Rank,Country,Port_Name,TEU_2020_M,TEU_2021_M,TEU_2022_M,TEU_2023_M,TEU_2024_M_est,Monthly_Local_Wage_USD,Median_Home_Value_USD,Growth_21_20,Growth_22_21,Growth_23_22,Growth_24_23,CAGR,Growth_21_20,Growth_22_21,Growth_23_22,Growth_24_22,TEU_CAGR_2020_2024_%,Growth_21_M,Growth_22_M,Growth_23_M,Growth__est,Cluster,PCA1,PCA2,Outlier,TEU_Trend_Slope,Trend_Type
1,China,Shanghai,43.5,47.03,47.3,49.16,50.0,1880,872555.0,0.08114942528735634,0.005741016372528089,0.03932346723044396,0.01708706265256313,0.035428672018403606,8.114942528735634,0.5741016372528089,3.9323467230443963,1.7087062652563128,3.5428672018403606,0.08114942528735634,0.005741016372528089,0.03932346723044396,0.01708706265256313,1,10.6337505698253,-0.9464712207257291,Outlier,1.5129999999998665,Accelerating
2,Singapore,Singapore,36.9,37.49,37.29,39.01,40.9,4100,874372.0,0.01598915989159901,-0.0053347559349160535,0.04612496647894875,0.04844911561138172,0.026063492129008603,1.598915989159901,-0.5334755934916053,4.612496647894875,4.844911561138172,2.6063492129008603,0.01598915989159901,-0.0053347559349160535,0.04612496647894875,0.04844911561138172,1,8.499065462389932,0.6942900521221003,Outlier,0.9519999999997916,Moderate Growth
3,China,Ningbo–Zhoushan,28.72,31.07,33.35,35.3,39.3,1400,300000.0,0.081824512534819,0.07338268426134538,0.058470764617691025,0.113314447592068,0.08156351539976603,8.182451253481899,7.338268426134538,5.8470764617691025,11.3314447592068,8.156351539976603,0.081824512534819,0.07338268426134538,0.058470764617691025,0.113314447592068,1,6.532983052194882,-2.0595197813155446,Outlier,2.53899999999963,Accelerating
4,China,Shenzhen,26.55,28.77,30.04,29.88,30.7,1700,680283.0,0.0836158192090395,0.04414320472714632,-0.005326231691078567,0.02744310575635878,0.03697542077692617,8.36158192090395,4.414320472714632,-0.5326231691078567,2.744310575635878,3.697542077692617,0.0836158192090395,0.04414320472714632,-0.005326231691078567,0.02744310575635878,1,5.835150293872669,-0.41156301321359023,Outlier,0.9409999999999692,Moderate Growth
5,China,Guangzhou,23.51,24.18,24.86,25.41,25.18,1500,420000.0,0.028498511271799153,0.0281224152191894,0.022123893805309762,-0.009051554506099978,0.017304051607242243,2.849851127179915,2.8122415219189403,2.212389380530976,-0.9051554506099978,1.7304051607242243,0.028498511271799153,0.0281224152191894,0.022123893805309762,-0.009051554506099978,1,4.480005361878021,-0.663529081920342,Outlier,0.4569999999999682,Flat
6,South Korea,Busan,21.82,22.71,22.08,23.04,24.3,2700,250000.0,0.040788267644363,-0.027741083223249783,0.04347826086956526,0.05468750000000007,0.027277750202262974,4.078826764436299,-2.7741083223249783,4.347826086956526,5.468750000000007,2.7277750202262974,0.040788267644363,-0.027741083223249783,0.04347826086956526,0.05468750000000007,1,3.943441757222341,-0.4717842440762218,Outlier,0.528999999999891,Moderate Growth
7,China,Qingdao,22.01,23.71,25.67,28.77,30.87,1600,280000.0,0.07723761926397088,0.08266554196541546,0.12076353720296057,0.07299270072992706,0.0882511799832093,7.7237619263970885,8.266554196541547,12.076353720296057,7.299270072992706,8.82511799832093,0.07723761926397088,0.08266554196541546,0.12076353720296057,0.07299270072992706,1,4.657975795934175,-1.6384928395272567,Outlier,2.277999999999651,Accelerating
8,China,Hong Kong,17.95,17.8,16.69,14.4,12.9,3600,1235220.0,-0.008356545961002706,-0.06235955056179772,-0.13720790892750154,-0.10416666666666666,-0.07927207677418169,-0.8356545961002706,-6.235955056179772,-13.720790892750154,-10.416666666666666,-7.927207677418169,-0.008356545961002706,-0.06235955056179772,-0.13720790892750154,-0.10416666666666666,2,3.2242664414402196,3.4843829845997485,Outlier,-1.3499999999997379,Declining
9,China,Tianjin,18.35,20.27,22.02,22.19,23.7,1300,200000.0,0.10463215258855575,0.0863344844597928,0.007720254314259841,0.06804867057232979,0.06605121471269682,10.463215258855575,8.63344844597928,0.7720254314259841,6.804867057232979,6.6051214712696815,0.10463215258855575,0.0863344844597928,0.007720254314259841,0.06804867057232979,1,3.3686081634515954,-1.4737743012545366,Outlier,1.2619999999998948,Moderate Growth
10,Netherlands,Rotterdam,14.35,15.3,14.46,13.45,13.8,3700,450000.0,0.06620209059233458,-0.05490196078431371,-0.0698478561549102,0.026022304832713863,-0.009722762829382225,6.620209059233457,-5.490196078431371,-6.9847856154910195,2.602230483271386,-0.9722762829382225,0.06620209059233458,-0.05490196078431371,-0.0698478561549102,0.026022304832713863,2,2.064140137054221,1.2560980991185149,Inlier,-0.2949999999999172,Declining
